what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1214506482046
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1214506482046
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1214506482046
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1214506482046
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1214506482046
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1214506482046
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1214506482046
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1214506482046
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1214506482046
os,sysinfo,,,"win32",1214506482046
arch,sysinfo,,,"x86",1214506482046
ws,sysinfo,,,"win32",1214506482046
locale,sysinfo,,,"en_US",1214506482046
processors,sysinfo,,,"2",1214506482046
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1214506482046
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1214506482046
java.specification.name,sysinfo,,,"Java Platform API Specification",1214506482046
java.specification.vendor,sysinfo,,,"Oracle Corporation",1214506482046
java.specification.version,sysinfo,,,"1.7",1214506482046
java.vendor,sysinfo,,,"Oracle Corporation",1214506482046
java.version,sysinfo,,,"1.7.0_67",1214506482046
java.vm.info,sysinfo,,,"mixed mode",1214506482046
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1214506482046
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1214506482046
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1214506482046
java.vm.specification.version,sysinfo,,,"1.7",1214506482046
java.vm.vendor,sysinfo,,,"Oracle Corporation",1214506482046
java.vm.version,sysinfo,,,"24.65-b04",1214506482046
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1214506485671
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506517781
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506517812
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1214506517859
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506518859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506518890
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506519828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506519859
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506520968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506521015
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506522750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506522781
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506523828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1214506525718
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1214506530734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1214506532781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1214506534296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1214506538125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1214506538671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1214506538671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1214506538687
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1214506550140
